,8016832, 95 A (NARCISSUS) 21,,,,,,,,
,8016832, 95 A (PHRIXUS) 32 1,,,,,,,,
,8017119, 95 A (AMPHION,,,,,,,,
71539071,8017239, 95 B (NIOBE) 51,,,,,,,,
,8017240, 95 B (NIOBE) 51,,,,,,,,
71539074,8017241, 95 B (NIOBE),,,,,,,,
71539075,8017242, 95 B (NIOBE),,,,,,,,
71539076,8017243, 95 B (NIOBE),,,,,,,,
,8017297, 94 I 44 1,,,,,,,,
71539077,8017719, 95A(TANTALUS),,,,,,,,
71539115,8017720, 95A(AGAMEMNON),,,,,,,,
71539116,8017722, 95A(AGAMEMNON)68,,,,,,,,
71539117,8017723, 95A(ORESTES)312,,,,,,,,
71539118,8017724, 95A(ORESTES)344,,,,,,,,
71539119,8017725, 95A(ORESTES)343,,,,,,,,
,8017817, 95 A (Echelos),,,,,,,,
,8018060, 94 I 16 3,,,,,,,,
,8018061, 94 I 16 3,,,,,,,,
,8019713, 95B(PHAEDRA)21,,,,,,,,
,8020138, 95 B (ARIADNE),,,,,,,,
,8020636, 94 H 24 52,,,,,,,,
,8020993, 95 B (AMAZONS) 4,,,,,,,,
,8022043, 95 A (MINOTAUR) : 31 A 23 5,,,,,,,,
,8022053, 94 H 14,,,,,,,,
,8022317, 95 B (DANAE),,,,,,,,
,8022515, 95 B (NIOBE) 62 1, 95 B (NIOBE) 62 2,,,,,,,
71539124,8022701, 94 C 13 3,,,,,,,,
,8022723, 94 C 11 31,,,,,,,,
,8022723, 94 C 11 31,,,,,,,,
,8022723, 95 A (ORESTES) 31,,,,,,,,
,8022723, 95 B (AMAZONS) 41, 95 B (NIOBE) 62 1,,,,,,,
,8022723, 95 B (AMAZONS) 41, 94 G 51,,,,,,,
,8022723, 95 B (AMAZONS) 41, 94 G 51,,,,,,,
,8022723, 95 B (AMAZONS) 41,,,,,,,,
,8022723, 95 B (AMAZONS) 41,,,,,,,,
71539125,8022861, 95 B (AMAZONS) 41,,,,,,,,
,8023278, 95 A (ICARUS) 68,,,,,,,,
71539163,8023383, 94 F 11 3,,,,,,,,
71539192,8023747, 94 C 11 3,,,,,,,,
,8023893, 94 C 11 2,,,,,,,,
,8024030, 95 B (DANAE),,,,,,,,
71539193,8024214, 95 B (IOLE),,,,,,,,
,8024462, 95 B (NIOBE) 61,,,,,,,,
,8024793, 95 A (NARCISSUS) 21,,,,,,,,
71539194,8024841, 95 A (HECTOR),,,,,,,,
,8024856, 95 B (AMAZONS) 41,,,,,,,,
